,Partido,1,2
0,Bublik - Herbert,1.2,4.2
1,Gasquet - Humbert,1.6,2.2
2,Vukic - Musetti,1.6,2.2
3,No Lopez - J Morandais, ,41.0
4,R Ortega Olmedo - Iv Liutarevich,1.25,3.8
5,A Paradisi - T Lukas,3.2,1.32
6,L Pattinama Kerkhove - A Lahey,1.1,6.0
7,A Fita Boluda - X You,1.16,4.5
8,S Park / H Sato - J Anger / L Boehner,1.01,11.0
9,S Hazawa - L Lokoli, ,16.0
10,T Sandkaulen - M Imamura,1.95,1.78
11,T Mu - S Mochizuki,6.0,1.1
12,K Kravchuk - H Habib,2.15,1.65
13,P Boscardin Dias - E Ribeiro,1.38,2.8
14,M Brugnerotto - J Loureiro,1.09,6.2
15,D Turkmen - J Zawadzka,2.3,1.56
16,A Rey Garcia - G Ceschi,1.3,3.25
17,C Tomasetti - P Praefke,1.58,2.25
18,E Morozova / B L Pirtac - M Ayukawa / V Ryser,15.0,1.002
19,Bhangdia - Mwe Mbithi,21.0,1.004
20,Steiglehner - Friberg,8.0,1.07
21,St Liokossis - Mridha,21.0,1.004
22,T Ng - G Price,1.07,8.0
23,D Lee - E Arutiunian,1.28,3.35
24,M Barreiros Reyes - M De Carvalho Cardoso Alves,4.0,1.17
25,J Pereira - P Rodrigues,1.02,8.0
26,C Oliveira - L Esquici,1.75,1.85
27,M Carle - S Doldan,1.02,12.0
28,A Gamiz - N Zeballos,1.02,12.0
29,S Kraus - Y Ma,1.28,3.1
30,Manafov - Martos Gornes,1.17,4.5
31,Lazov - Ed Cohen,1.57,2.25
32,Jann Kahlke - Ben Abdennibi,1.25,3.5
33,Van Assendelft - And Chepelev,3.5,1.25
34,A Donski / C J Lock - T Legout / A Reymond,1.8,1.8
35,E Chong - Y Wang,2.1,1.6
36,S Fomin - I Snitari,5.5,1.08
37,V Gaggini / N Kawagishi - K Dmitruk / S Scilipoti,5.0,1.1
38,D Hindova - S Fung,6.0,1.11
39,S Sewing - P Corley,1.67,2.1
40,A Cirotte - K Quevedo,1.44,2.63
41,N Arakawa - J Belgraver,6.0,1.11
42,J Cabaj Awad - L Karatancheva,1.22,3.75
43,M Rivera Corado - M Imanishi,3.0,1.33
44,H Arakawa / J Gimbrere - F Bahri / D Chehoudi,1.02,8.0
45,A Eala / E Jacquemot - O Parres Azcoitia / A Zante,1.8,1.8
46,Cerretani/Monroe - Bopanna/Ramanathan,4.25,1.18
47,A Visaya - L Hotze,1.25,3.5
48,T Mihalikova / L Noskova - J Bouzas Maneiro / L Ro,1.28,3.1
49,Mesquida Berg - K Overmyer,1.03,10.5
50,N Sanchez Izquierdo - B Gadamauri,1.3,3.0
51,Lawson/Stalder - Hijikata/Rybakov,1.32,3.1
52,Stebe - J Rodionov,1.8,1.9
53,L Cortez Llorca / I Murta - F Contreras Gomez / A,3.3,1.24
54,I Gimenez - M Martinez,5.75,1.08
55,B Fernandez - G Da Silva,2.3,1.5
56,D Hewitt - A Parks,2.0,1.64
57,W Osuigwe - R Anderson,2.1,1.6
58,R Zarazua - K Jokic,1.4,2.55
59,F Di Lorenzo - L Sun,1.5,2.3
60,T Rossini - J Ortenzi,11.0,1.02
61,Ri Rodriguez-Pace - N Stefanovic,1.2,4.0
62,M Capurro Taborda - D Seguel,4.0,1.2
63,J Estable - C Di Genova,1.5,2.5
64,Davidovich Fokina - Mannarino,1.83,1.83
65,N Liebkind - B Behulova,8.5,1.05
