,Partido,1,2
0,Daniel Elahi Galan - Jaume Antoni Munar Clar,"2,40","1,50"
1,Pedro Martinez - Juan Ignacio Londero,"1,47","2,50"
2,Diego Schwartzman - Juan Pablo Ficovich,"1,11","5,50"
3,Alexander Bublik - Pierre-Hugues Herbert,"1,16","4,90"
4,Alejandro Davidovich Fokina - Adrian Mannarino,"1,85","1,95"
5,Filip Krajinovic - Jo-Wilfred Tsonga,"1,38","3,00"
6,Gilles Simon - Roberto Bautista Agut,"5,75","1,13"
7,Aleksandar Vukic - Lorenzo Musetti,"1,65","2,10"
8,G Duran / M Gonzalez - F Bagnis / A Ramos Vinolas,"1,28","3,25"
9,S Gonzalez / A Molteni - L Sonego / A Vavassori,"1,80","1,90"
10,R Matos / F Meligeni Alves - S Baez / P Martinez,"1,60","2,20"
11,L Glasspool / H Heliovaara - A Nedovyesov / AUH Qureshi,"1,85","1,83"
12,PH Herbert / N Mahut - N Basilashvili / D Brown,"1,14","4,90"
13,Cedrik-Marcel Stebe - Jurij Rodionov,"1,90","1,80"
14,Tennys Sandgren - Thomas Fabbiano,"1,60","2,20"
15,Emilio Nava - Dominic Stephan Stricker,"2,40","1,50"
16,Ernesto Escobedo - Nicola Kuhn,"1,33","3,00"
17,Jack Sock - Brayden Schnur,"1,50","2,40"
18,A Lawson / R Stalder - R Hijikata / A Rybakov,"1,40","2,90"
19,N Hardt / N Mejia - R Gonzales / L Margaroli,"2,80","1,42"
20,M Geerts / E Gomez - Y Nishioka / K Uchida,"2,00","1,80"
