,Partido,1,2
0,Daniel Elahi Galan - Jaume Munar,2.55,1.50
1,Pedro Martinez - Juan Ignacio Londero,1.48,2.60
2,Diego Schwartzman - Juan Pablo Ficovich,1.15,5.25
3,Tomas Martin Etcheverry - Nikola Milojevic,1.44,2.75
4,Roberto Carballes Baena - Lorenzo Sonego,2.45,1.53
5,Albert Ramos-Viñolas - Juan Pablo Varillas,1.70,2.10
6,Alejandro Tabilo - Carlos Taberner,1.75,2.05
7,Cristian Garin - Sebastian Baez,1.91,1.85
8,G. Duran / M. Gonza - F. Bagnis / A. Ramos-Vino,1.26,3.50
9,S. Gonzalez / A. Molt - L. Sonego / A. Vavass,1.72,2.00
10,R. Matos / F. Meligeni Rodrigues Al - S. Baez / P. Marti,1.50,2.40
11,P. Cachin / T. M. Etcheve - R. Carballes Baena / J. Mu,2.55,1.45
12,Alexander Bublik - Pierre-Hugues Herbert,1.20,4.20
13,Richard Gasquet - Ugo Humbert,1.62,2.20
14,Alejandro Davidovich Fokina - Adrian Mannarino,1.78,2.00
15,Filip Krajinovic - Jo-Wilfried Tsonga,1.36,3.10
16,Gilles Simon - Roberto Bautista-Agut,5.75,1.13
17,Damir Dzumhur - Nikoloz Basilashvili,2.35,1.57
18,Gael Monfils - Mikael Ymer,1.20,4.33
19,P.-H. Herbert / N. Ma - N. Basilashvili / D. Br,1.12,5.25
20,L. Glasspool / H. Heliova - A. Nedovyesov / A.-U.-H. Qure,1.85,1.87
21,J. Erlich / E. Roger-Vasse - F. Martin / J.-W. Tso,1.85,1.85
22,J. Cerretani / N. Mon - R. Bopanna / R. Ramanat,4.00,1.20
23,N. S. Balaji / V. Vard - A. Kadhe / P. R,2.00,1.72
24,F. Gaio / L. Muse - S. Doumbia / F. Reb,2.10,1.65
25,Aleksandar Vukic - Lorenzo Musetti,1.67,2.10
26,Aslan Karatsev - Elias Ymer,1.35,3.10
27,Bernabe Zapata Miralles - Jiri Vesely,2.55,1.50
28,Emil Ruusuvuori - Vit Kopriva,1.19,4.50
29,Yuki Bhambri - Stefano Travaglia,2.40,1.55
30,D. Golubev / G. Loma - S. Baldoni / N. Mosta,2.05,1.65
31,S. Purtseladze / L. Sheyngezi - S. Agabigun / M.-A. Je,3.60,1.22
32,S. D'Agostino / P. Pampa - U. Akkoyun / T. Alt,2.75,1.36
33,M. Houkes / R. Stuur - Z. Tkemaladze / T. Yaman,1.60,2.10
34,Gabriele Bosio - Umut Akkoyun,1.08,6.00
35,Seong Chan Hong - Max Houkes,1.25,3.50
36,N. Alvarez / M. Al - M. Brugnerotto / D. Po,1.12,4.75
37,P. Boscardin Dias / G. He - M. Amorim De Lima / H. H. Ushiz,1.04,7.00
38,J. M. Nusdeo / P. G. Rodrig - M. Dellien / M. F. Desco,5.75,1.08
39,B. Stefani Figlia / G. P. Tumaso - W. Leite / E. Ribe,5.75,1.08
40,Jose Pereira - Pedro Gabriel Rodrigues,1.06,6.50
41,Bruno Fernandez - Gabriel Ciro Da Silva,2.25,1.53
42,Pedro Boscardin Dias - Eduardo Ribeiro,1.40,2.60
43,Igor Gimenez - Mateo Nicolas Martinez,4.75,1.12
44,Gabriel Roveri Sidney - Roy Smith,4.75,1.12
45,Gabriel Pascotto Tumasonis - Joao Hinsching,1.33,2.90
46,Christian Oliveira - Lorenzo Esquici,1.72,1.91
