,Partido,1,2
0,Daniel Elahi Galan - Jaume Munar,2.60,1.50
1,Pedro Martínez - Juan Ignacio Londero,1.50,2.60
2,Diego Schwartzman - Juan Pablo Ficovich,1.14,5.50
3,Aleksandar Vukic - Lorenzo Musetti,1.73,2.00
4,Filip Krajinovic - Jo-Wilfried Tsonga,1.40,2.90
5,Gilles Simon - Roberto Bautista,5.50,1.14
6,Duran / Gonzalez - Bagnis / Ramos,1.25,3.75
7,Gonzalez / Molteni - Sonego / Vavassori,1.83,1.83
8,Matos / Alves - Baez / Martínez,1.57,2.25
9,Cerretani / Monroe - Bopanna / Ramanathan,4.33,1.20
10,Balaji / Vardhan - Kadhe / Raja,1.83,1.83
11,Glasspool / Heliovaara - Nedovyesov / Qureshi,1.83,1.83
12,Herbert / Mahut - Basilashvili / Brown,1.14,5.00
13,Cedrik-Marcel Stebe - Jurij Rodionov,1.91,1.80
14,Tennys Sandgren - Thomas Fabbiano,1.53,2.37
15,Emilio Nava - Dominic Stephan Stricker,2.20,1.53
16,Ernesto Escobedo - Nicola Kuhn,1.36,3.00
17,Jack Sock - Brayden Schnur,1.50,2.50
18,Hopper / Powell - Blumberg / Schnur,8.00,1.06
19,Geerts / Gomez - Nishioka / Uchida,2.00,1.73
20,Godsick / Stricker - Uchiyama / Watanuki,2.75,1.40
21,Blancaneaux / Fabbiano - Chappell / Wu,1.61,2.20
22,Dalayna Hewitt - Alycia Parks,2.00,1.73
23,Francesca Di Lorenzo - Lulu Sun,1.50,2.50
24,Whitney Osuigwe - Robin Anderson,2.20,1.61
25,Christina McHale - Irene Burillo Escorihuela,1.25,3.75
26,Marcela Zacarias - Louisa Chirico,1.67,2.10
27,Tatjana Maria - Usue Maitane Arconada,2.20,1.61
28,Sachia Vickery - Xiyu Wang,2.62,1.44
29,Yu Hsiou Hsu - Yan Bondarevskiy,1.06,8.00
30,Samuel Vincent Ruggeri - Alexander Shevchenko,17.00,1.01
31,Marco Brugnerotto - Joao Victor Couto Loureiro,1.08,7.00
32,Jose Pereira - Pedro Gabriel Rodrigues,1.06,8.00
33,Igor Gimenez - Mateo Nicolas Martinez,5.50,1.12
34,Gabriel Roveri Sidney - Roy Smith,5.50,1.12
35,Pedro Boscardin Dias - Eduardo Ribeiro,1.44,2.62
36,Christian Oliveira - Lorenzo Esquici,1.80,1.91
37,Mandy Minella - Aurora Zantedeschi,1.04,10.00
38,Anna Paradisi - Tena Lukas,4.00,1.22
39,Angela Fita Boluda - Xiaodi You,1.22,4.00
40,Lesley Pattinama Kerkhove - Ashley Lahey,1.14,5.00
41,Alexandra Ignatik - Melanie Klaffner,1.17,4.50
42,Eudice Chong - Yafan Wang,2.10,1.67
43,Sinja Kraus - Yexin Ma,1.36,3.00
44,Taylor Ng - Gabriella Price,1.05,9.00
45,Tiziana Rossini - Jazmin Ortenzi,12.00,1.02
46,Julieta Estable - Chiara Di Genova,1.53,2.37
47,Martina Capurro Taborda - Daniela Seguel,3.50,1.28
48,Elina Avanesyan - Berta Bonardi,1.11,6.00
49,Solana Sierra - Fernanda Labrana,1.50,2.50
50,Gerard Planelles Ripoll - Darwin Blanch,3.25,1.33
51,Tao Mu - Shintaro Mochizuki,6.00,1.11
52,Nikolas Sanchez Izquierdo - Buvaysar Gadamauri,1.40,2.75
53,Chiara Tomasetti - Pia Praefke,1.85,1.85
